[Nome : StudyDataset;Dataset : Mixed Files;File Name : C:\Documents and Settings\study_dataset.csv;Date : 06/01/2021;Time : 12:43:48]
#Games;Titanic;Contry_Vaccinations;NBA#

[Grupo;GAME_DATE_EST;GAME_ID;GAME_STATUS_TEXT;HOME_TEAM_ID;VISITOR_TEAM_ID;SEASON;TEAM_ID_home;PTS_home;FG_PCT_home;FT_PCT_home;FG3_PCT_home;AST_home;REB_home;TEAM_ID_away;PTS_away;FG_PCT_away;FT_PCT_away;FG3_PCT_away;AST_away;REB_away;HOME_TEAM_WINS]
Grupo;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Coluna7;Coluna8;Coluna9;Coluna10;Coluna11;Coluna12;Coluna13;Coluna14;Coluna15;Coluna16;Coluna17;Coluna18;Coluna19;Coluna20;Coluna21
Games;19/12/2020;12000047;Final;1610612753;1610612766;2020;1610612753;120;433;792;425;23;50;1610612766;117;444;864;439;21;52;1
Games;19/12/2020;12000048;Final;1610612764;1610612765;2020;1610612764;99;427;625;295;24;45;1610612765;96;402;647;326;18;51;1
Games;19/12/2020;12000049;Final;1610612763;1610612737;2020;1610612763;116;4;744;396;21;43;1610612737;117;422;837;297;24;47;0
Games;18/12/2020;12000039;Final;1610612754;1610612755;2020;1610612754;107;371;692;262;19;45;1610612755;113;533;629;355;23;48;0
Games;18/12/2020;12000040;Final;1610612761;1610612748;2020;1610612761;105;38;737;356;27;37;1610612748;117;534;741;514;30;51;0
Games;18/12/2020;12000042;Final;1610612752;1610612739;2020;1610612752;119;513;788;517;27;41;1610612739;83;395;611;387;20;35;1
Games;18/12/2020;12000041;Final;1610612738;1610612751;2020;1610612738;89;348;81;178;18;48;1610612751;113;432;778;457;26;53;0
Games;18/12/2020;12000043;Final;1610612740;1610612749;2020;1610612740;127;512;614;364;25;51;1610612749;113;422;9;25;21;44;1
Games;18/12/2020;12000044;Final;1610612760;1610612741;2020;1610612760;103;411;737;395;21;51;1610612741;105;424;588;268;27;56;0
Games;18/12/2020;12000045;Final;1610612743;1610612757;2020;1610612743;129;474;778;409;30;53;1610612757;96;371;87;303;17;42;1
Games;18/12/2020;12000046;Final;1610612756;1610612747;2020;1610612756;113;477;846;409;26;46;1610612747;114;506;593;533;25;33;0
Games;17/12/2020;12000032;Final;1610612753;1610612766;2020;1610612753;115;474;917;324;26;53;1610612766;123;475;9;439;32;43;0
Games;17/12/2020;12000033;Final;1610612764;1610612765;2020;1610612764;86;397;682;265;18;42;1610612765;97;494;583;4;20;42;0
Games;17/12/2020;12000034;Final;1610612745;1610612759;2020;1610612745;128;527;929;395;26;42;1610612759;106;409;844;212;17;41;1
Games;17/12/2020;12000035;Final;1610612763;1610612737;2020;1610612763;128;474;773;38;33;58;1610612737;106;381;864;289;25;46;1
Games;17/12/2020;12000036;Final;1610612742;1610612750;2020;1610612742;127;424;92;455;28;45;1610612750;129;469;793;389;27;55;0
Games;17/12/2020;12000038;Final;1610612758;1610612744;2020;1610612758;105;372;757;233;22;51;1610612744;113;424;833;465;20;54;0
Games;17/12/2020;12000037;Final;1610612746;1610612762;2020;1610612746;105;461;87;5;23;37;1610612762;125;495;733;462;38;40;0
Games;16/12/2020;12000028;Final;1610612752;1610612739;2020;1610612752;100;458;762;235;28;38;1610612739;93;402;778;5;23;44;1
Games;16/12/2020;12000029;Final;1610612760;1610612741;2020;1610612760;103;381;68;324;22;46;1610612741;124;542;643;333;26;61;0
Games;16/12/2020;12000030;Final;1610612743;1610612757;2020;1610612743;126;523;739;413;39;55;1610612757;95;378;75;265;20;33;1
Games;16/12/2020;12000031;Final;1610612756;1610612747;2020;1610612756;107;407;8;31;26;45;1610612747;112;476;75;4;20;47;0
Games;15/12/2020;12000025;Final;1610612755;1610612738;2020;1610612755;108;471;75;241;23;42;1610612738;99;434;727;282;19;42;1
Games;15/12/2020;12000026;Final;1610612745;1610612759;2020;1610612745;112;44;654;333;23;51;1610612759;98;429;593;323;23;43;1
Games;15/12/2020;12000027;Final;1610612758;1610612744;2020;1610612758;114;467;577;357;23;49;1610612744;113;427;621;302;28;53;1
Games;14/12/2020;12000019;Final;1610612739;1610612754;2020;1610612739;116;514;811;375;24;52;1610612754;106;451;538;425;26;33;1
Games;14/12/2020;12000020;Final;1610612766;1610612761;2020;1610612766;109;457;719;333;33;38;1610612761;112;476;739;341;23;37;0
Games;14/12/2020;12000021;Final;1610612748;1610612740;2020;1610612748;92;427;818;283;26;35;1610612740;114;447;839;316;20;51;0
